"","CityProvince","Region","Density"
"1","QUEZON CITY","NATIONAL CAPITAL REGION",80566.1813603641
"2","CITY OF MANILA","NATIONAL CAPITAL REGION",48846.7508151209
"3","CALOOCAN CITY","NATIONAL CAPITAL REGION",43463.9022500565
"4","TAGUIG CITY","NATIONAL CAPITAL REGION",22086.6368596055
"5","CITY OF PASIG","NATIONAL CAPITAL REGION",20725.2154824547
